overlap,num_gates,depth,num_nonloc_gates,num_parameters,ngen,neval,timestamp,HV
0.9524677744,30.0,20.0,15.0,27.0,1,33,0.016408920288085938,374194.3495168438
0.9367042514,29.0,20.0,16.0,25.0,1,33,0.016408920288085938,374194.3495168438
0.9127523239,29.0,21.0,15.0,24.0,1,33,0.016408920288085938,374194.3495168438
0.9095054307,30.0,17.0,16.0,27.0,1,33,0.016408920288085938,374194.3495168438
0.9004181674,22.0,12.0,11.0,17.0,1,33,0.016408920288085938,374194.3495168438
0.8719281825,21.0,14.0,10.0,18.0,1,33,0.016408920288085938,374194.3495168438
0.830197518,17.0,13.0,13.0,11.0,1,33,0.016408920288085938,374194.3495168438
0.7071067812,16.0,10.0,9.0,20.0,1,33,0.016408920288085938,374194.3495168438
0.7047139159,22.0,12.0,10.0,14.0,1,33,0.016408920288085938,374194.3495168438
0.7007447028,19.0,11.0,10.0,17.0,1,33,0.016408920288085938,374194.3495168438
0.6947826697,21.0,11.0,9.0,10.0,1,33,0.016408920288085938,374194.3495168438
0.6931235866,18.0,15.0,13.0,10.0,1,33,0.016408920288085938,374194.3495168438
0.6847485149,14.0,9.0,5.0,13.0,1,33,0.016408920288085938,374194.3495168438
0.6605596098,9.0,9.0,8.0,8.0,1,33,0.016408920288085938,374194.3495168438
0.6605596098,11.0,7.0,6.0,9.0,1,33,0.016408920288085938,374194.3495168438
0.6485044726,15.0,9.0,5.0,8.0,1,33,0.016408920288085938,374194.3495168438
0.6454972242,13.0,7.0,5.0,8.0,1,33,0.016408920288085938,374194.3495168438
0.645497224,26.0,15.0,11.0,7.0,1,33,0.016408920288085938,374194.3495168438
0.5773502692,7.0,5.0,5.0,7.0,1,33,0.016408920288085938,374194.3495168438
0.5773502691,9.0,6.0,5.0,4.0,1,33,0.016408920288085938,374194.3495168438
0.5,15.0,6.0,3.0,6.0,1,33,0.016408920288085938,374194.3495168438
0.4670861794,11.0,7.0,4.0,4.0,1,33,0.016408920288085938,374194.3495168438
0.4082482905,5.0,4.0,3.0,10.0,1,33,0.016408920288085938,374194.3495168438
0.4082482904,3.0,2.0,2.0,5.0,1,33,0.016408920288085938,374194.3495168438
0.0,2.0,1.0,1.0,1.0,1,33,0.016408920288085938,374194.3495168438
0.9847104057,27.0,20.0,17.0,15.0,2,33,390.19789838790894,418029.4022406117
0.983558967,28.0,17.0,15.0,27.0,2,33,390.19789838790894,418029.4022406117
0.9367042514,29.0,20.0,16.0,25.0,2,33,390.19789838790894,418029.4022406117
0.9127523239,29.0,21.0,15.0,24.0,2,33,390.19789838790894,418029.4022406117
0.9004181674,22.0,12.0,11.0,17.0,2,33,390.19789838790894,418029.4022406117
