overlap,num_gates,depth,num_nonloc_gates,num_parameters,ngen,neval,timestamp,HV
0.916796743,23.0,13.0,12.0,16.0,1,33,0.014467716217041016,183466.5904488563
0.8858388908,18.0,15.0,11.0,17.0,1,33,0.014467716217041016,183466.5904488563
0.8660254037,25.0,17.0,15.0,13.0,1,33,0.014467716217041016,183466.5904488563
0.8164965809,26.0,18.0,15.0,12.0,1,33,0.014467716217041016,183466.5904488563
0.8164965806,25.0,14.0,10.0,11.0,1,33,0.014467716217041016,183466.5904488563
0.7180391701,18.0,14.0,10.0,19.0,1,33,0.014467716217041016,183466.5904488563
0.7071067811,11.0,8.0,6.0,10.0,1,33,0.014467716217041016,183466.5904488563
0.6994676518,23.0,12.0,12.0,8.0,1,33,0.014467716217041016,183466.5904488563
0.6454972242,15.0,12.0,11.0,3.0,1,33,0.014467716217041016,183466.5904488563
0.5773502692,10.0,7.0,6.0,7.0,1,33,0.014467716217041016,183466.5904488563
0.5773502691,5.0,4.0,3.0,2.0,1,33,0.014467716217041016,183466.5904488563
0.4082482905,3.0,3.0,3.0,2.0,1,33,0.014467716217041016,183466.5904488563
0.4082482904,3.0,2.0,1.0,3.0,1,33,0.014467716217041016,183466.5904488563
0.2886751346,3.0,2.0,1.0,1.0,1,33,0.014467716217041016,183466.5904488563
0.0,2.0,2.0,1.0,1.0,1,33,0.014467716217041016,183466.5904488563
0.9331024575,25.0,17.0,15.0,23.0,2,33,357.51986622810364,265521.7016720685
0.916796743,23.0,13.0,12.0,16.0,2,33,357.51986622810364,265521.7016720685
0.9131094224,26.0,18.0,16.0,13.0,2,33,357.51986622810364,265521.7016720685
0.8858388908,18.0,15.0,11.0,17.0,2,33,357.51986622810364,265521.7016720685
0.8660254037,25.0,17.0,15.0,13.0,2,33,357.51986622810364,265521.7016720685
0.8244477504,25.0,16.0,14.0,12.0,2,33,357.51986622810364,265521.7016720685
0.8164965806,25.0,14.0,10.0,11.0,2,33,357.51986622810364,265521.7016720685
0.7180391701,18.0,14.0,10.0,19.0,2,33,357.51986622810364,265521.7016720685
0.7071067811,11.0,8.0,6.0,10.0,2,33,357.51986622810364,265521.7016720685
0.6994676518,23.0,12.0,12.0,8.0,2,33,357.51986622810364,265521.7016720685
0.6454972242,15.0,12.0,11.0,3.0,2,33,357.51986622810364,265521.7016720685
0.6109204492,18.0,10.0,9.0,9.0,2,33,357.51986622810364,265521.7016720685
0.5773502692,9.0,5.0,5.0,12.0,2,33,357.51986622810364,265521.7016720685
0.5773502692,10.0,7.0,6.0,7.0,2,33,357.51986622810364,265521.7016720685
0.5773502691,5.0,4.0,3.0,2.0,2,33,357.51986622810364,265521.7016720685
0.4082482905,3.0,2.0,3.0,6.0,2,33,357.51986622810364,265521.7016720685
0.4082482905,3.0,3.0,2.0,3.0,2,33,357.51986622810364,265521.7016720685
0.4082482905,3.0,3.0,3.0,2.0,2,33,357.51986622810364,265521.7016720685
0.4082482904,3.0,1.0,0.0,1.0,2,33,357.51986622810364,265521.7016720685
0.0,2.0,2.0,1.0,1.0,2,33,357.51986622810364,265521.7016720685
0.0,2.0,2.0,1.0,1.0,2,33,357.51986622810364,265521.7016720685
0.9331024575,25.0,17.0,15.0,23.0,3,33,622.6960823535919,277800.1932329286
