overlap,num_gates,depth,num_nonloc_gates,num_parameters,ngen,neval,timestamp,HV
0.9128709291,20.0,13.0,12.0,10.0,1,33,0.02204275131225586,119407.54040665428
0.8602557701,21.0,12.0,8.0,25.0,1,33,0.02204275131225586,119407.54040665428
0.7936062768,17.0,13.0,9.0,16.0,1,33,0.02204275131225586,119407.54040665428
0.7070955031,18.0,11.0,12.0,14.0,1,33,0.02204275131225586,119407.54040665428
0.7070733817,13.0,9.0,8.0,14.0,1,33,0.02204275131225586,119407.54040665428
0.7047441025,19.0,12.0,8.0,11.0,1,33,0.02204275131225586,119407.54040665428
0.6605596098,16.0,11.0,7.0,6.0,1,33,0.02204275131225586,119407.54040665428
0.6454972242,14.0,10.0,7.0,5.0,1,33,0.02204275131225586,119407.54040665428
0.6123724356,6.0,3.0,1.0,3.0,1,33,0.02204275131225586,119407.54040665428
0.5773502692,5.0,3.0,1.0,6.0,1,33,0.02204275131225586,119407.54040665428
0.4082482905,4.0,3.0,2.0,1.0,1,33,0.02204275131225586,119407.54040665428
0.2886751346,3.0,2.0,1.0,0.0,1,33,0.02204275131225586,119407.54040665428
0.0,2.0,1.0,1.0,0.0,1,33,0.02204275131225586,119407.54040665428
0.9341569782,29.0,18.0,16.0,24.0,2,33,337.30942702293396,258406.3869001757
0.9128709291,20.0,13.0,12.0,10.0,2,33,337.30942702293396,258406.3869001757
0.8602557701,21.0,12.0,8.0,25.0,2,33,337.30942702293396,258406.3869001757
0.8537903999,14.0,8.0,8.0,14.0,2,33,337.30942702293396,258406.3869001757
0.7070733817,13.0,9.0,8.0,14.0,2,33,337.30942702293396,258406.3869001757
0.7059938305,20.0,13.0,10.0,9.0,2,33,337.30942702293396,258406.3869001757
0.7047441025,19.0,12.0,8.0,11.0,2,33,337.30942702293396,258406.3869001757
0.6605596098,16.0,11.0,7.0,6.0,2,33,337.30942702293396,258406.3869001757
0.6454972242,14.0,10.0,7.0,5.0,2,33,337.30942702293396,258406.3869001757
0.6123724356,6.0,3.0,1.0,3.0,2,33,337.30942702293396,258406.3869001757
0.5773502692,5.0,3.0,1.0,6.0,2,33,337.30942702293396,258406.3869001757
0.4082482905,2.0,1.0,0.0,0.0,2,33,337.30942702293396,258406.3869001757
0.9341569782,29.0,18.0,16.0,24.0,3,33,568.5233855247498,273589.3249938666
0.9243543564,29.0,19.0,16.0,20.0,3,33,568.5233855247498,273589.3249938666
0.9128709291,20.0,13.0,12.0,10.0,3,33,568.5233855247498,273589.3249938666
0.8602557701,21.0,12.0,8.0,25.0,3,33,568.5233855247498,273589.3249938666
0.8537903999,14.0,8.0,8.0,14.0,3,33,568.5233855247498,273589.3249938666
0.8488506454,15.0,12.0,9.0,12.0,3,33,568.5233855247498,273589.3249938666
0.7070733817,13.0,9.0,8.0,14.0,3,33,568.5233855247498,273589.3249938666
0.7059938305,20.0,13.0,10.0,9.0,3,33,568.5233855247498,273589.3249938666
0.7047441025,19.0,12.0,8.0,11.0,3,33,568.5233855247498,273589.3249938666
0.6605596098,16.0,11.0,7.0,6.0,3,33,568.5233855247498,273589.3249938666
0.6454972244,13.0,8.0,7.0,5.0,3,33,568.5233855247498,273589.3249938666
0.6123724356,6.0,3.0,1.0,3.0,3,33,568.5233855247498,273589.3249938666
0.5773502692,5.0,3.0,1.0,6.0,3,33,568.5233855247498,273589.3249938666
0.4082482905,2.0,1.0,0.0,0.0,3,33,568.5233855247498,273589.3249938666
0.9484463631,30.0,20.0,17.0,25.0,4,33,872.3020415306091,318473.51655569207
0.9341569782,29.0,18.0,16.0,24.0,4,33,872.3020415306091,318473.51655569207
0.9243543564,29.0,19.0,16.0,20.0,4,33,872.3020415306091,318473.51655569207
