overlap,num_gates,depth,num_nonloc_gates,num_parameters,ngen,neval,timestamp,HV
0.9166899895,26.0,18.0,12.0,22.0,1,33,0.01528310775756836,385287.46330934565
0.9161127532,28.0,23.0,18.0,21.0,1,33,0.01528310775756836,385287.46330934565
0.8848937854,29.0,22.0,19.0,13.0,1,33,0.01528310775756836,385287.46330934565
0.8744588459,28.0,17.0,13.0,15.0,1,33,0.01528310775756836,385287.46330934565
0.8164965809,19.0,12.0,12.0,11.0,1,33,0.01528310775756836,385287.46330934565
0.8154732225,27.0,13.0,7.0,19.0,1,33,0.01528310775756836,385287.46330934565
0.7950363025,19.0,13.0,10.0,17.0,1,33,0.01528310775756836,385287.46330934565
0.707106781,15.0,11.0,11.0,8.0,1,33,0.01528310775756836,385287.46330934565
0.7043786565,19.0,12.0,10.0,9.0,1,33,0.01528310775756836,385287.46330934565
0.6790732613,15.0,9.0,8.0,11.0,1,33,0.01528310775756836,385287.46330934565
0.6724994146,17.0,10.0,7.0,12.0,1,33,0.01528310775756836,385287.46330934565
0.6605596097,20.0,13.0,9.0,9.0,1,33,0.01528310775756836,385287.46330934565
0.6302569655,15.0,9.0,10.0,9.0,1,33,0.01528310775756836,385287.46330934565
0.5773502692,10.0,8.0,7.0,8.0,1,33,0.01528310775756836,385287.46330934565
0.5773502692,14.0,9.0,5.0,9.0,1,33,0.01528310775756836,385287.46330934565
0.5773502691,6.0,4.0,2.0,8.0,1,33,0.01528310775756836,385287.46330934565
0.4714045208,13.0,5.0,6.0,7.0,1,33,0.01528310775756836,385287.46330934565
0.4670861795,14.0,9.0,5.0,5.0,1,33,0.01528310775756836,385287.46330934565
0.4082482905,8.0,5.0,5.0,5.0,1,33,0.01528310775756836,385287.46330934565
0.4082482905,19.0,12.0,9.0,3.0,1,33,0.01528310775756836,385287.46330934565
0.4082482904,6.0,3.0,4.0,5.0,1,33,0.01528310775756836,385287.46330934565
0.4082482904,9.0,6.0,5.0,3.0,1,33,0.01528310775756836,385287.46330934565
0.2886751346,6.0,4.0,2.0,2.0,1,33,0.01528310775756836,385287.46330934565
0.2041241452,11.0,6.0,5.0,1.0,1,33,0.01528310775756836,385287.46330934565
0.0,2.0,1.0,1.0,2.0,1,33,0.01528310775756836,385287.46330934565
0.0,2.0,2.0,1.0,1.0,1,33,0.01528310775756836,385287.46330934565
0.0,2.0,2.0,2.0,0.0,1,33,0.01528310775756836,385287.46330934565
0.0,4.0,4.0,1.0,0.0,1,33,0.01528310775756836,385287.46330934565
0.9245271902,30.0,26.0,18.0,22.0,2,33,329.8295660018921,511172.81282990007
0.9166899895,26.0,18.0,12.0,22.0,2,33,329.8295660018921,511172.81282990007
0.9161127532,28.0,23.0,18.0,21.0,2,33,329.8295660018921,511172.81282990007
0.8848937854,29.0,22.0,19.0,13.0,2,33,329.8295660018921,511172.81282990007
0.8744588459,28.0,17.0,13.0,15.0,2,33,329.8295660018921,511172.81282990007
0.8164965809,19.0,12.0,12.0,11.0,2,33,329.8295660018921,511172.81282990007
0.8154732225,27.0,13.0,7.0,19.0,2,33,329.8295660018921,511172.81282990007
0.7957669135,20.0,14.0,11.0,16.0,2,33,329.8295660018921,511172.81282990007
0.7950363025,19.0,13.0,10.0,17.0,2,33,329.8295660018921,511172.81282990007
0.707106781,15.0,11.0,11.0,8.0,2,33,329.8295660018921,511172.81282990007
0.7071023596,17.0,14.0,9.0,15.0,2,33,329.8295660018921,511172.81282990007
0.7043786565,19.0,12.0,10.0,9.0,2,33,329.8295660018921,511172.81282990007
0.6790732613,15.0,9.0,8.0,11.0,2,33,329.8295660018921,511172.81282990007
0.6724994146,17.0,10.0,7.0,12.0,2,33,329.8295660018921,511172.81282990007
0.6605596097,20.0,13.0,9.0,9.0,2,33,329.8295660018921,511172.81282990007
0.6454972243,25.0,17.0,13.0,5.0,2,33,329.8295660018921,511172.81282990007
0.6302569655,15.0,9.0,10.0,9.0,2,33,329.8295660018921,511172.81282990007
0.5773502692,8.0,5.0,3.0,11.0,2,33,329.8295660018921,511172.81282990007
0.5773502692,10.0,8.0,7.0,8.0,2,33,329.8295660018921,511172.81282990007
0.5773502692,14.0,9.0,5.0,9.0,2,33,329.8295660018921,511172.81282990007
0.5773502691,6.0,4.0,2.0,8.0,2,33,329.8295660018921,511172.81282990007
0.5773502691,20.0,10.0,7.0,6.0,2,33,329.8295660018921,511172.81282990007
0.4714045208,12.0,7.0,6.0,6.0,2,33,329.8295660018921,511172.81282990007
0.4714045208,13.0,5.0,6.0,7.0,2,33,329.8295660018921,511172.81282990007
0.4714045207,15.0,10.0,7.0,5.0,2,33,329.8295660018921,511172.81282990007
0.4670861795,14.0,9.0,5.0,5.0,2,33,329.8295660018921,511172.81282990007
0.4330127019,8.0,6.0,4.0,2.0,2,33,329.8295660018921,511172.81282990007
0.4082482905,3.0,1.0,1.0,1.0,2,33,329.8295660018921,511172.81282990007
0.4082482904,2.0,2.0,1.0,2.0,2,33,329.8295660018921,511172.81282990007
0.0,2.0,1.0,0.0,1.0,2,33,329.8295660018921,511172.81282990007
0.0,2.0,2.0,1.0,0.0,2,33,329.8295660018921,511172.81282990007
0.9812711876,30.0,24.0,18.0,28.0,3,33,542.3454539775848,663769.8049754737
0.9245271902,30.0,26.0,18.0,22.0,3,33,542.3454539775848,663769.8049754737
0.9166899895,26.0,18.0,12.0,22.0,3,33,542.3454539775848,663769.8049754737
0.9161127532,28.0,23.0,18.0,21.0,3,33,542.3454539775848,663769.8049754737
0.9125876069,25.0,16.0,11.0,15.0,3,33,542.3454539775848,663769.8049754737
0.9108569069,22.0,14.0,12.0,17.0,3,33,542.3454539775848,663769.8049754737
0.8848937854,29.0,22.0,19.0,13.0,3,33,542.3454539775848,663769.8049754737
0.8164965809,19.0,12.0,12.0,11.0,3,33,542.3454539775848,663769.8049754737
0.8154732225,27.0,13.0,7.0,19.0,3,33,542.3454539775848,663769.8049754737
0.7957669135,20.0,14.0,11.0,16.0,3,33,542.3454539775848,663769.8049754737
0.7950363025,19.0,13.0,10.0,17.0,3,33,542.3454539775848,663769.8049754737
0.7071067812,20.0,13.0,9.0,16.0,3,33,542.3454539775848,663769.8049754737
0.707106781,15.0,11.0,11.0,8.0,3,33,542.3454539775848,663769.8049754737
0.7071023596,17.0,14.0,9.0,15.0,3,33,542.3454539775848,663769.8049754737
0.7043786565,19.0,12.0,10.0,9.0,3,33,542.3454539775848,663769.8049754737
0.6790732613,15.0,9.0,8.0,11.0,3,33,542.3454539775848,663769.8049754737
0.6724994146,17.0,10.0,7.0,12.0,3,33,542.3454539775848,663769.8049754737
0.6605596098,14.0,12.0,6.0,11.0,3,33,542.3454539775848,663769.8049754737
0.6605596097,9.0,7.0,5.0,5.0,3,33,542.3454539775848,663769.8049754737
0.5773502692,6.0,4.0,3.0,5.0,3,33,542.3454539775848,663769.8049754737
0.5773502691,6.0,4.0,2.0,8.0,3,33,542.3454539775848,663769.8049754737
0.5773502691,19.0,12.0,12.0,4.0,3,33,542.3454539775848,663769.8049754737
0.499972488,6.0,3.0,2.0,7.0,3,33,542.3454539775848,663769.8049754737
0.4714045208,13.0,6.0,5.0,4.0,3,33,542.3454539775848,663769.8049754737
0.4330127019,8.0,6.0,4.0,2.0,3,33,542.3454539775848,663769.8049754737
0.4082482905,2.0,2.0,1.0,2.0,3,33,542.3454539775848,663769.8049754737
0.4082482905,3.0,1.0,1.0,1.0,3,33,542.3454539775848,663769.8049754737
0.0,2.0,1.0,0.0,1.0,3,33,542.3454539775848,663769.8049754737
0.0,2.0,2.0,1.0,0.0,3,33,542.3454539775848,663769.8049754737
0.9812711876,30.0,24.0,18.0,28.0,4,33,854.0728299617767,679950.7170635785
0.9729756669,30.0,18.0,14.0,26.0,4,33,854.0728299617767,679950.7170635785
0.9245271902,30.0,26.0,18.0,22.0,4,33,854.0728299617767,679950.7170635785
0.9166899895,26.0,18.0,12.0,22.0,4,33,854.0728299617767,679950.7170635785
0.9161127532,28.0,23.0,18.0,21.0,4,33,854.0728299617767,679950.7170635785
0.9125876069,25.0,16.0,11.0,15.0,4,33,854.0728299617767,679950.7170635785
0.9108569069,22.0,14.0,12.0,17.0,4,33,854.0728299617767,679950.7170635785
0.8848937854,29.0,22.0,19.0,13.0,4,33,854.0728299617767,679950.7170635785
0.8598123118,24.0,14.0,12.0,12.0,4,33,854.0728299617767,679950.7170635785
0.8164965809,19.0,12.0,12.0,11.0,4,33,854.0728299617767,679950.7170635785
0.8164965807,20.0,11.0,12.0,5.0,4,33,854.0728299617767,679950.7170635785
0.8154732225,27.0,13.0,7.0,19.0,4,33,854.0728299617767,679950.7170635785
0.7957669135,20.0,14.0,11.0,16.0,4,33,854.0728299617767,679950.7170635785
0.7950363025,19.0,13.0,10.0,17.0,4,33,854.0728299617767,679950.7170635785
0.7315346116,15.0,11.0,7.0,14.0,4,33,854.0728299617767,679950.7170635785
0.7071067811,12.0,7.0,7.0,9.0,4,33,854.0728299617767,679950.7170635785
0.707106781,15.0,11.0,11.0,8.0,4,33,854.0728299617767,679950.7170635785
0.6605596098,14.0,12.0,6.0,11.0,4,33,854.0728299617767,679950.7170635785
0.6605596097,9.0,7.0,5.0,5.0,4,33,854.0728299617767,679950.7170635785
0.6605596096,8.0,6.0,3.0,9.0,4,33,854.0728299617767,679950.7170635785
0.5773502692,6.0,4.0,3.0,5.0,4,33,854.0728299617767,679950.7170635785
0.5773502691,6.0,4.0,2.0,8.0,4,33,854.0728299617767,679950.7170635785
0.5773502691,9.0,8.0,6.0,3.0,4,33,854.0728299617767,679950.7170635785
0.499972488,6.0,3.0,2.0,7.0,4,33,854.0728299617767,679950.7170635785
0.4714045208,13.0,6.0,5.0,4.0,4,33,854.0728299617767,679950.7170635785
0.4670861795,11.0,6.0,4.0,2.0,4,33,854.0728299617767,679950.7170635785
0.4330127019,8.0,6.0,4.0,2.0,4,33,854.0728299617767,679950.7170635785
0.4082482905,2.0,2.0,1.0,2.0,4,33,854.0728299617767,679950.7170635785
0.4082482905,3.0,1.0,1.0,1.0,4,33,854.0728299617767,679950.7170635785
0.4082482905,4.0,2.0,0.0,1.0,4,33,854.0728299617767,679950.7170635785
0.4082482904,2.0,1.0,1.0,1.0,4,33,854.0728299617767,679950.7170635785
0.0,2.0,1.0,0.0,1.0,4,33,854.0728299617767,679950.7170635785
0.0,2.0,2.0,1.0,0.0,4,33,854.0728299617767,679950.7170635785
0.987018827,30.0,22.0,16.0,21.0,5,33,1230.0301492214203,458728.07579453907
0.9729756669,30.0,18.0,14.0,26.0,5,33,1230.0301492214203,458728.07579453907
0.9646560287,30.0,18.0,15.0,20.0,5,33,1230.0301492214203,458728.07579453907
0.9341723587,14.0,10.0,7.0,5.0,5,33,1230.0301492214203,458728.07579453907
0.7071067811,12.0,7.0,7.0,9.0,5,33,1230.0301492214203,458728.07579453907
0.6605596098,14.0,12.0,6.0,11.0,5,33,1230.0301492214203,458728.07579453907
0.6605596097,9.0,7.0,5.0,5.0,5,33,1230.0301492214203,458728.07579453907
0.6605596096,8.0,6.0,3.0,9.0,5,33,1230.0301492214203,458728.07579453907
0.640178794,10.0,7.0,2.0,10.0,5,33,1230.0301492214203,458728.07579453907
0.5773502692,6.0,4.0,3.0,5.0,5,33,1230.0301492214203,458728.07579453907
0.5773502691,6.0,4.0,2.0,8.0,5,33,1230.0301492214203,458728.07579453907
0.5773502691,9.0,8.0,6.0,3.0,5,33,1230.0301492214203,458728.07579453907
0.499972488,6.0,3.0,2.0,7.0,5,33,1230.0301492214203,458728.07579453907
0.4714045208,13.0,6.0,5.0,4.0,5,33,1230.0301492214203,458728.07579453907
0.4670861795,11.0,6.0,4.0,2.0,5,33,1230.0301492214203,458728.07579453907
0.4330127019,8.0,6.0,4.0,2.0,5,33,1230.0301492214203,458728.07579453907
0.4082482905,2.0,2.0,1.0,2.0,5,33,1230.0301492214203,458728.07579453907
0.4082482905,3.0,1.0,1.0,1.0,5,33,1230.0301492214203,458728.07579453907
0.4082482905,4.0,2.0,0.0,1.0,5,33,1230.0301492214203,458728.07579453907
0.4082482904,2.0,1.0,1.0,1.0,5,33,1230.0301492214203,458728.07579453907
0.4082482904,2.0,1.0,1.0,1.0,5,33,1230.0301492214203,458728.07579453907
0.0,2.0,1.0,0.0,1.0,5,33,1230.0301492214203,458728.07579453907
0.0,2.0,2.0,1.0,0.0,5,33,1230.0301492214203,458728.07579453907
0.987018827,30.0,22.0,16.0,21.0,6,33,1566.4512877464294,460683.28683895257
0.9729756669,30.0,18.0,14.0,26.0,6,33,1566.4512877464294,460683.28683895257
0.9646560287,30.0,18.0,15.0,20.0,6,33,1566.4512877464294,460683.28683895257
0.9341723587,14.0,10.0,7.0,5.0,6,33,1566.4512877464294,460683.28683895257
0.8543471438,12.0,8.0,7.0,11.0,6,33,1566.4512877464294,460683.28683895257
0.7984589517,16.0,9.0,8.0,10.0,6,33,1566.4512877464294,460683.28683895257
0.7071067811,12.0,7.0,7.0,9.0,6,33,1566.4512877464294,460683.28683895257
0.7071047801,13.0,7.0,6.0,9.0,6,33,1566.4512877464294,460683.28683895257
0.6605596097,9.0,7.0,5.0,5.0,6,33,1566.4512877464294,460683.28683895257
0.6605596096,8.0,6.0,3.0,9.0,6,33,1566.4512877464294,460683.28683895257
0.640178794,10.0,7.0,2.0,10.0,6,33,1566.4512877464294,460683.28683895257
0.6268010407,11.0,5.0,3.0,13.0,6,33,1566.4512877464294,460683.28683895257
0.5773502692,6.0,4.0,3.0,5.0,6,33,1566.4512877464294,460683.28683895257
0.5773502691,6.0,4.0,2.0,8.0,6,33,1566.4512877464294,460683.28683895257
0.5773502691,9.0,8.0,6.0,3.0,6,33,1566.4512877464294,460683.28683895257
0.499972488,6.0,3.0,2.0,7.0,6,33,1566.4512877464294,460683.28683895257
0.4714045208,13.0,6.0,5.0,4.0,6,33,1566.4512877464294,460683.28683895257
0.4670861795,11.0,6.0,4.0,2.0,6,33,1566.4512877464294,460683.28683895257
0.4330127019,8.0,6.0,4.0,2.0,6,33,1566.4512877464294,460683.28683895257
0.4082482905,2.0,2.0,1.0,2.0,6,33,1566.4512877464294,460683.28683895257
0.4082482905,3.0,1.0,1.0,1.0,6,33,1566.4512877464294,460683.28683895257
0.4082482905,4.0,2.0,0.0,1.0,6,33,1566.4512877464294,460683.28683895257
0.4082482905,4.0,2.0,0.0,1.0,6,33,1566.4512877464294,460683.28683895257
0.4082482904,2.0,1.0,1.0,1.0,6,33,1566.4512877464294,460683.28683895257
0.4082482904,2.0,1.0,1.0,1.0,6,33,1566.4512877464294,460683.28683895257
0.0,2.0,1.0,0.0,1.0,6,33,1566.4512877464294,460683.28683895257
0.0,2.0,2.0,1.0,0.0,6,33,1566.4512877464294,460683.28683895257
0.0,2.0,2.0,1.0,0.0,6,33,1566.4512877464294,460683.28683895257
0.987018827,30.0,22.0,16.0,21.0,7,33,1879.9331035614014,493103.28641009855
0.9729756669,30.0,18.0,14.0,26.0,7,33,1879.9331035614014,493103.28641009855
0.971438355,30.0,19.0,13.0,24.0,7,33,1879.9331035614014,493103.28641009855
0.9646560287,30.0,18.0,15.0,20.0,7,33,1879.9331035614014,493103.28641009855
0.9469295762,29.0,22.0,17.0,23.0,7,33,1879.9331035614014,493103.28641009855
0.9341723587,14.0,10.0,7.0,5.0,7,33,1879.9331035614014,493103.28641009855
0.8543471438,12.0,8.0,7.0,11.0,7,33,1879.9331035614014,493103.28641009855
0.7984589517,16.0,9.0,8.0,10.0,7,33,1879.9331035614014,493103.28641009855
0.714166403,12.0,7.0,6.0,11.0,7,33,1879.9331035614014,493103.28641009855
0.7071067811,12.0,7.0,7.0,9.0,7,33,1879.9331035614014,493103.28641009855
0.7071047801,13.0,7.0,6.0,9.0,7,33,1879.9331035614014,493103.28641009855
0.6605596097,9.0,7.0,5.0,5.0,7,33,1879.9331035614014,493103.28641009855
0.6605596096,8.0,6.0,3.0,9.0,7,33,1879.9331035614014,493103.28641009855
0.6449716197,13.0,7.0,2.0,14.0,7,33,1879.9331035614014,493103.28641009855
0.640178794,10.0,7.0,2.0,10.0,7,33,1879.9331035614014,493103.28641009855
0.6268010407,11.0,5.0,3.0,13.0,7,33,1879.9331035614014,493103.28641009855
0.5773502692,6.0,4.0,2.0,8.0,7,33,1879.9331035614014,493103.28641009855
0.5773502692,6.0,4.0,3.0,5.0,7,33,1879.9331035614014,493103.28641009855
0.5773502691,9.0,8.0,6.0,3.0,7,33,1879.9331035614014,493103.28641009855
0.499972488,6.0,3.0,2.0,7.0,7,33,1879.9331035614014,493103.28641009855
0.4714045208,2.0,2.0,2.0,2.0,7,33,1879.9331035614014,493103.28641009855
