overlap,num_gates,depth,num_nonloc_gates,num_parameters,ngen,neval,timestamp,HV
0.9573466748,17.0,11.0,10.0,16.0,1,33,0.01262807846069336,105714.45894853419
0.8621203425,19.0,12.0,9.0,20.0,1,33,0.01262807846069336,105714.45894853419
0.7071067812,16.0,11.0,12.0,27.0,1,33,0.01262807846069336,105714.45894853419
0.702986682,12.0,7.0,10.0,9.0,1,33,0.01262807846069336,105714.45894853419
0.6605596098,10.0,8.0,7.0,14.0,1,33,0.01262807846069336,105714.45894853419
0.6450339567,18.0,10.0,4.0,17.0,1,33,0.01262807846069336,105714.45894853419
0.6376259081,17.0,11.0,9.0,13.0,1,33,0.01262807846069336,105714.45894853419
0.6168326918,13.0,8.0,8.0,12.0,1,33,0.01262807846069336,105714.45894853419
0.6123724357,17.0,7.0,3.0,14.0,1,33,0.01262807846069336,105714.45894853419
0.5773502692,7.0,5.0,6.0,12.0,1,33,0.01262807846069336,105714.45894853419
0.5773502692,8.0,7.0,5.0,7.0,1,33,0.01262807846069336,105714.45894853419
0.5773502691,6.0,4.0,3.0,9.0,1,33,0.01262807846069336,105714.45894853419
0.4714045207,3.0,3.0,3.0,2.0,1,33,0.01262807846069336,105714.45894853419
0.4082482905,2.0,1.0,1.0,2.0,1,33,0.01262807846069336,105714.45894853419
0.4082482904,11.0,6.0,4.0,1.0,1,33,0.01262807846069336,105714.45894853419
0.2886751346,4.0,4.0,3.0,1.0,1,33,0.01262807846069336,105714.45894853419
0.2041241452,4.0,3.0,2.0,0.0,1,33,0.01262807846069336,105714.45894853419
0.0,3.0,2.0,3.0,1.0,1,33,0.01262807846069336,105714.45894853419
0.9824567997,29.0,16.0,17.0,25.0,2,33,246.43302941322327,262449.73811719695
0.9573466748,17.0,11.0,10.0,16.0,2,33,246.43302941322327,262449.73811719695
0.8660254036,18.0,13.0,10.0,9.0,2,33,246.43302941322327,262449.73811719695
0.8621203425,19.0,12.0,9.0,20.0,2,33,246.43302941322327,262449.73811719695
0.8164965809,12.0,9.0,10.0,17.0,2,33,246.43302941322327,262449.73811719695
0.8164964999,20.0,12.0,10.0,15.0,2,33,246.43302941322327,262449.73811719695
0.7697872352,13.0,10.0,9.0,10.0,2,33,246.43302941322327,262449.73811719695
0.7071058035,18.0,11.0,8.0,14.0,2,33,246.43302941322327,262449.73811719695
0.702986682,12.0,7.0,10.0,9.0,2,33,246.43302941322327,262449.73811719695
0.6605596098,10.0,8.0,7.0,14.0,2,33,246.43302941322327,262449.73811719695
0.6605596098,18.0,9.0,8.0,8.0,2,33,246.43302941322327,262449.73811719695
0.6516677276,19.0,10.0,7.0,9.0,2,33,246.43302941322327,262449.73811719695
0.6450339567,18.0,10.0,4.0,17.0,2,33,246.43302941322327,262449.73811719695
0.6435463087,17.0,7.0,3.0,10.0,2,33,246.43302941322327,262449.73811719695
0.6168326918,13.0,8.0,8.0,12.0,2,33,246.43302941322327,262449.73811719695
0.5773502692,6.0,4.0,4.0,11.0,2,33,246.43302941322327,262449.73811719695
0.5773502692,8.0,7.0,5.0,7.0,2,33,246.43302941322327,262449.73811719695
0.5773502692,10.0,5.0,4.0,1.0,2,33,246.43302941322327,262449.73811719695
0.5773502691,6.0,4.0,3.0,9.0,2,33,246.43302941322327,262449.73811719695
0.5773502673,8.0,5.0,4.0,5.0,2,33,246.43302941322327,262449.73811719695
0.4714045207,3.0,3.0,3.0,2.0,2,33,246.43302941322327,262449.73811719695
0.4082482905,2.0,1.0,1.0,2.0,2,33,246.43302941322327,262449.73811719695
0.4082482905,5.0,3.0,3.0,1.0,2,33,246.43302941322327,262449.73811719695
0.4082482904,2.0,1.0,2.0,1.0,2,33,246.43302941322327,262449.73811719695
0.2041241452,4.0,3.0,2.0,0.0,2,33,246.43302941322327,262449.73811719695
0.2041241452,4.0,3.0,2.0,0.0,2,33,246.43302941322327,262449.73811719695
0.9824567997,29.0,16.0,17.0,25.0,3,33,500.4782416820526,311761.1291913742
0.9573466748,17.0,11.0,10.0,16.0,3,33,500.4782416820526,311761.1291913742
