overlap,num_gates,depth,num_nonloc_gates,num_parameters,ngen,neval,timestamp,HV
0.934172359,27.0,17.0,15.0,23.0,1,33,0.026865482330322266,228465.56226057198
0.9340678931,27.0,17.0,14.0,12.0,1,33,0.026865482330322266,228465.56226057198
0.9208716605,26.0,18.0,15.0,12.0,1,33,0.026865482330322266,228465.56226057198
0.9109836335,21.0,14.0,11.0,12.0,1,33,0.026865482330322266,228465.56226057198
0.8918757197,20.0,12.0,12.0,14.0,1,33,0.026865482330322266,228465.56226057198
0.8394750479,19.0,14.0,9.0,11.0,1,33,0.026865482330322266,228465.56226057198
0.7071067812,13.0,10.0,9.0,8.0,1,33,0.026865482330322266,228465.56226057198
0.6886312857,12.0,9.0,8.0,11.0,1,33,0.026865482330322266,228465.56226057198
0.6605596098,22.0,14.0,7.0,16.0,1,33,0.026865482330322266,228465.56226057198
0.6165456251,15.0,9.0,7.0,12.0,1,33,0.026865482330322266,228465.56226057198
0.5773502692,13.0,7.0,8.0,6.0,1,33,0.026865482330322266,228465.56226057198
0.5773502691,10.0,7.0,4.0,3.0,1,33,0.026865482330322266,228465.56226057198
0.4670861795,8.0,5.0,4.0,4.0,1,33,0.026865482330322266,228465.56226057198
0.4082482905,6.0,5.0,4.0,2.0,1,33,0.026865482330322266,228465.56226057198
0.4082482905,10.0,6.0,3.0,9.0,1,33,0.026865482330322266,228465.56226057198
0.4082482904,3.0,2.0,1.0,2.0,1,33,0.026865482330322266,228465.56226057198
0.0,2.0,2.0,1.0,2.0,1,33,0.026865482330322266,228465.56226057198
0.0,3.0,2.0,2.0,0.0,1,33,0.026865482330322266,228465.56226057198
0.9986541991,27.0,18.0,16.0,24.0,2,33,355.9050531387329,268111.5006595514
0.934172359,27.0,17.0,15.0,23.0,2,33,355.9050531387329,268111.5006595514
0.9340678931,27.0,17.0,14.0,12.0,2,33,355.9050531387329,268111.5006595514
0.9208716605,26.0,18.0,15.0,12.0,2,33,355.9050531387329,268111.5006595514
0.9109836335,21.0,14.0,11.0,12.0,2,33,355.9050531387329,268111.5006595514
0.9003579865,22.0,13.0,15.0,16.0,2,33,355.9050531387329,268111.5006595514
0.8968218852,22.0,15.0,10.0,20.0,2,33,355.9050531387329,268111.5006595514
0.8918757197,20.0,12.0,12.0,14.0,2,33,355.9050531387329,268111.5006595514
0.8394750479,19.0,14.0,9.0,11.0,2,33,355.9050531387329,268111.5006595514
0.8164965809,15.0,7.0,3.0,8.0,2,33,355.9050531387329,268111.5006595514
0.7071067812,13.0,10.0,9.0,8.0,2,33,355.9050531387329,268111.5006595514
0.6886312857,12.0,9.0,8.0,11.0,2,33,355.9050531387329,268111.5006595514
0.6605596098,15.0,9.0,10.0,6.0,2,33,355.9050531387329,268111.5006595514
0.5773502692,10.0,8.0,6.0,8.0,2,33,355.9050531387329,268111.5006595514
0.5773502692,13.0,7.0,8.0,6.0,2,33,355.9050531387329,268111.5006595514
0.5773502691,10.0,7.0,4.0,3.0,2,33,355.9050531387329,268111.5006595514
0.577350269,6.0,5.0,4.0,4.0,2,33,355.9050531387329,268111.5006595514
0.4670861794,9.0,6.0,5.0,3.0,2,33,355.9050531387329,268111.5006595514
