overlap,num_gates,depth,num_nonloc_gates,num_parameters,ngen,neval,timestamp,HV
0.9835881241,30.0,21.0,18.0,22.0,1,33,0.01731395721435547,335551.3419740523
0.9037600394,22.0,13.0,11.0,13.0,1,33,0.01731395721435547,335551.3419740523
0.8171167467,23.0,12.0,12.0,14.0,1,33,0.01731395721435547,335551.3419740523
0.8164965809,22.0,12.0,10.0,19.0,1,33,0.01731395721435547,335551.3419740523
0.8164965807,20.0,11.0,12.0,13.0,1,33,0.01731395721435547,335551.3419740523
0.8164965807,22.0,13.0,12.0,8.0,1,33,0.01731395721435547,335551.3419740523
0.8010440136,20.0,12.0,10.0,17.0,1,33,0.01731395721435547,335551.3419740523
0.8001476093,20.0,13.0,11.0,10.0,1,33,0.01731395721435547,335551.3419740523
0.6781277219,17.0,13.0,12.0,11.0,1,33,0.01731395721435547,335551.3419740523
0.6605596098,28.0,12.0,11.0,16.0,1,33,0.01731395721435547,335551.3419740523
0.6603303133,10.0,7.0,5.0,8.0,1,33,0.01731395721435547,335551.3419740523
0.6449650994,15.0,11.0,10.0,7.0,1,33,0.01731395721435547,335551.3419740523
0.5773502692,15.0,8.0,6.0,7.0,1,33,0.01731395721435547,335551.3419740523
0.5773502691,19.0,14.0,11.0,5.0,1,33,0.01731395721435547,335551.3419740523
0.4714045208,6.0,4.0,4.0,3.0,1,33,0.01731395721435547,335551.3419740523
0.4714045205,8.0,4.0,3.0,4.0,1,33,0.01731395721435547,335551.3419740523
0.4082482905,5.0,2.0,1.0,3.0,1,33,0.01731395721435547,335551.3419740523
0.4082482905,5.0,3.0,3.0,2.0,1,33,0.01731395721435547,335551.3419740523
0.4082482904,4.0,2.0,2.0,1.0,1,33,0.01731395721435547,335551.3419740523
0.4082482904,6.0,5.0,1.0,2.0,1,33,0.01731395721435547,335551.3419740523
0.4082482904,7.0,4.0,1.0,2.0,1,33,0.01731395721435547,335551.3419740523
0.3333333333,3.0,2.0,1.0,2.0,1,33,0.01731395721435547,335551.3419740523
0.0,3.0,3.0,3.0,1.0,1,33,0.01731395721435547,335551.3419740523
0.9835881241,30.0,21.0,18.0,22.0,2,33,209.51490235328674,350987.10504092113
0.9339443006,24.0,13.0,11.0,16.0,2,33,209.51490235328674,350987.10504092113
0.9037600394,22.0,13.0,11.0,13.0,2,33,209.51490235328674,350987.10504092113
0.8171167467,23.0,12.0,12.0,14.0,2,33,209.51490235328674,350987.10504092113
0.8164965809,21.0,12.0,11.0,16.0,2,33,209.51490235328674,350987.10504092113
0.8164965809,22.0,12.0,10.0,19.0,2,33,209.51490235328674,350987.10504092113
0.8164965807,20.0,11.0,12.0,13.0,2,33,209.51490235328674,350987.10504092113
0.8164965807,22.0,13.0,12.0,8.0,2,33,209.51490235328674,350987.10504092113
0.8164920786,23.0,13.0,10.0,12.0,2,33,209.51490235328674,350987.10504092113
0.8010440136,20.0,12.0,10.0,17.0,2,33,209.51490235328674,350987.10504092113
0.8001476093,20.0,13.0,11.0,10.0,2,33,209.51490235328674,350987.10504092113
0.7680237077,17.0,11.0,10.0,12.0,2,33,209.51490235328674,350987.10504092113
0.6781277219,17.0,13.0,12.0,11.0,2,33,209.51490235328674,350987.10504092113
0.6666666665,11.0,8.0,7.0,6.0,2,33,209.51490235328674,350987.10504092113
0.6603303133,10.0,7.0,5.0,8.0,2,33,209.51490235328674,350987.10504092113
0.5773502692,11.0,6.0,5.0,11.0,2,33,209.51490235328674,350987.10504092113
0.5773502692,15.0,8.0,6.0,7.0,2,33,209.51490235328674,350987.10504092113
0.5773502691,14.0,8.0,7.0,4.0,2,33,209.51490235328674,350987.10504092113
