overlap,num_gates,depth,num_nonloc_gates,num_parameters,ngen,neval,timestamp,HV
0.9233631577,29.0,17.0,16.0,20.0,1,33,0.01741337776184082,235774.501669084
0.9087039342,29.0,17.0,16.0,18.0,1,33,0.01741337776184082,235774.501669084
0.9003795244,22.0,13.0,11.0,19.0,1,33,0.01741337776184082,235774.501669084
0.8660250027,28.0,18.0,14.0,12.0,1,33,0.01741337776184082,235774.501669084
0.844243545,22.0,13.0,10.0,19.0,1,33,0.01741337776184082,235774.501669084
0.8159449614,22.0,15.0,15.0,17.0,1,33,0.01741337776184082,235774.501669084
0.7532130302,13.0,9.0,9.0,11.0,1,33,0.01741337776184082,235774.501669084
0.6605595991,23.0,19.0,15.0,9.0,1,33,0.01741337776184082,235774.501669084
0.6503037535,14.0,12.0,8.0,8.0,1,33,0.01741337776184082,235774.501669084
0.6454972242,15.0,11.0,8.0,3.0,1,33,0.01741337776184082,235774.501669084
0.6151264238,14.0,11.0,7.0,11.0,1,33,0.01741337776184082,235774.501669084
0.6123724357,13.0,8.0,5.0,6.0,1,33,0.01741337776184082,235774.501669084
0.5773502692,11.0,8.0,8.0,14.0,1,33,0.01741337776184082,235774.501669084
0.4927992797,12.0,5.0,2.0,4.0,1,33,0.01741337776184082,235774.501669084
0.4714045206,7.0,4.0,3.0,3.0,1,33,0.01741337776184082,235774.501669084
0.4082482905,3.0,1.0,1.0,4.0,1,33,0.01741337776184082,235774.501669084
0.4082482905,6.0,5.0,4.0,3.0,1,33,0.01741337776184082,235774.501669084
0.4082482905,9.0,7.0,4.0,2.0,1,33,0.01741337776184082,235774.501669084
0.4082482904,6.0,4.0,4.0,2.0,1,33,0.01741337776184082,235774.501669084
0.2041241452,2.0,1.0,0.0,0.0,1,33,0.01741337776184082,235774.501669084
0.981160158,30.0,18.0,18.0,23.0,2,33,349.69988226890564,324048.5120585692
0.9233631577,29.0,17.0,16.0,20.0,2,33,349.69988226890564,324048.5120585692
0.9128709292,27.0,19.0,16.0,15.0,2,33,349.69988226890564,324048.5120585692
0.9087039342,29.0,17.0,16.0,18.0,2,33,349.69988226890564,324048.5120585692
0.9003795244,22.0,13.0,11.0,19.0,2,33,349.69988226890564,324048.5120585692
0.8796528081,29.0,19.0,15.0,15.0,2,33,349.69988226890564,324048.5120585692
0.8719281262,30.0,17.0,12.0,15.0,2,33,349.69988226890564,324048.5120585692
0.8660250027,28.0,18.0,14.0,12.0,2,33,349.69988226890564,324048.5120585692
0.844243545,22.0,13.0,10.0,19.0,2,33,349.69988226890564,324048.5120585692
0.8159449614,22.0,15.0,15.0,17.0,2,33,349.69988226890564,324048.5120585692
0.7532130302,13.0,9.0,9.0,11.0,2,33,349.69988226890564,324048.5120585692
0.7216854254,22.0,15.0,13.0,10.0,2,33,349.69988226890564,324048.5120585692
0.6605595991,23.0,19.0,15.0,9.0,2,33,349.69988226890564,324048.5120585692
0.6503037535,14.0,12.0,8.0,8.0,2,33,349.69988226890564,324048.5120585692
0.6454972242,15.0,11.0,8.0,3.0,2,33,349.69988226890564,324048.5120585692
0.6151264238,14.0,11.0,7.0,11.0,2,33,349.69988226890564,324048.5120585692
0.6123724357,13.0,8.0,5.0,6.0,2,33,349.69988226890564,324048.5120585692
0.5773502692,11.0,8.0,8.0,14.0,2,33,349.69988226890564,324048.5120585692
0.5773502691,8.0,5.0,2.0,5.0,2,33,349.69988226890564,324048.5120585692
0.5,7.0,5.0,5.0,7.0,2,33,349.69988226890564,324048.5120585692
0.4927992797,12.0,5.0,2.0,4.0,2,33,349.69988226890564,324048.5120585692
0.4714045208,7.0,5.0,3.0,7.0,2,33,349.69988226890564,324048.5120585692
0.4714045206,7.0,4.0,3.0,3.0,2,33,349.69988226890564,324048.5120585692
0.4330127019,6.0,3.0,3.0,2.0,2,33,349.69988226890564,324048.5120585692
0.4082482905,3.0,1.0,1.0,4.0,2,33,349.69988226890564,324048.5120585692
0.4082482905,9.0,5.0,2.0,0.0,2,33,349.69988226890564,324048.5120585692
0.4082482904,3.0,3.0,2.0,2.0,2,33,349.69988226890564,324048.5120585692
0.2041241452,2.0,1.0,0.0,0.0,2,33,349.69988226890564,324048.5120585692
0.9849594693,30.0,18.0,21.0,22.0,3,33,631.2902641296387,410782.4881694071
0.981160158,30.0,18.0,18.0,23.0,3,33,631.2902641296387,410782.4881694071
0.9233631577,29.0,17.0,16.0,20.0,3,33,631.2902641296387,410782.4881694071
0.9128709292,27.0,19.0,16.0,15.0,3,33,631.2902641296387,410782.4881694071
0.9128709289,28.0,20.0,15.0,10.0,3,33,631.2902641296387,410782.4881694071
0.9095800594,28.0,17.0,15.0,21.0,3,33,631.2902641296387,410782.4881694071
0.9087039342,29.0,17.0,16.0,18.0,3,33,631.2902641296387,410782.4881694071
0.9003795244,22.0,13.0,11.0,19.0,3,33,631.2902641296387,410782.4881694071
0.8796528081,29.0,19.0,15.0,15.0,3,33,631.2902641296387,410782.4881694071
0.8719281262,30.0,17.0,12.0,15.0,3,33,631.2902641296387,410782.4881694071
0.8660254038,30.0,16.0,11.0,17.0,3,33,631.2902641296387,410782.4881694071
0.8660250027,28.0,18.0,14.0,12.0,3,33,631.2902641296387,410782.4881694071
0.844243545,22.0,13.0,10.0,19.0,3,33,631.2902641296387,410782.4881694071
0.8164856706,22.0,16.0,11.0,14.0,3,33,631.2902641296387,410782.4881694071
0.8159449614,22.0,15.0,15.0,17.0,3,33,631.2902641296387,410782.4881694071
0.7532130302,13.0,9.0,9.0,11.0,3,33,631.2902641296387,410782.4881694071
0.7216854254,22.0,15.0,13.0,10.0,3,33,631.2902641296387,410782.4881694071
0.7062650935,14.0,8.0,7.0,13.0,3,33,631.2902641296387,410782.4881694071
0.6969234251,23.0,18.0,15.0,9.0,3,33,631.2902641296387,410782.4881694071
0.6781900822,18.0,11.0,8.0,12.0,3,33,631.2902641296387,410782.4881694071
0.6507881274,14.0,12.0,8.0,8.0,3,33,631.2902641296387,410782.4881694071
0.6454972242,15.0,11.0,8.0,3.0,3,33,631.2902641296387,410782.4881694071
0.6454972241,14.0,11.0,8.0,4.0,3,33,631.2902641296387,410782.4881694071
0.6151264238,14.0,11.0,7.0,11.0,3,33,631.2902641296387,410782.4881694071
0.6123724357,13.0,8.0,5.0,6.0,3,33,631.2902641296387,410782.4881694071
0.5773502692,9.0,6.0,3.0,8.0,3,33,631.2902641296387,410782.4881694071
0.5773502692,12.0,7.0,5.0,6.0,3,33,631.2902641296387,410782.4881694071
0.5773502691,8.0,5.0,2.0,5.0,3,33,631.2902641296387,410782.4881694071
0.5,7.0,5.0,5.0,7.0,3,33,631.2902641296387,410782.4881694071
0.4927992798,6.0,3.0,1.0,4.0,3,33,631.2902641296387,410782.4881694071
0.4714045206,7.0,4.0,3.0,3.0,3,33,631.2902641296387,410782.4881694071
